"111","Lebanon","3,171","3,440","3,654","3,791","3,892","4,125","4,151","1,364","1,561","1,786","2,058","2,383","2,691","2,899"
"112","Lesotho","1,552","1,703","1,848","1,916","1,922","1,920","1,948","726","786","859","952","1,067","1,195","1,359"
"113","Liberia","2,162","2,139","1,900","2,601","2,930","3,685","4,196","824","928","1,055","1,209","1,397","1,617","1,857"
"114","Libya","3,680","4,146","4,663","5,125","5,778","6,461","7,132","961","1,122","1,338","1,624","1,999","2,570","3,069"
"115","Liechtenstein","27","29","31","33","35","36","38","14","15","16","19","21","23","25"
"116","Lithuania","3,587","3,695","3,674","3,654","3,597","3,545","3,495","2,553","2,614","2,765","2,959","3,138","3,305","3,435"
"117","Luxembourg","367","383","410","439","469","498","527","296","305","314","332","339","359","364"
"118","Macau (China)","306","352","401","432","474","568","593","205","193","186","224","261","254","256"
"119","Macedonia","1,845","1,861","1,954","2,015","2,045","2,072","2,096","1,225","1,340","1,366","1,470","1,574","1,684","1,792"
"120","Madagascar","10,029","11,633","13,532","15,742","18,312","21,282","24,651","4,620","5,003","5,482","6,070","6,766","7,604","8,691"
"121","Malawi","7,330","9,546","10,264","11,802","13,492","15,448","17,715","2,817","3,088","3,450","3,914","4,508","5,317","6,259"
"122","Malaysia","15,649","17,882","20,339","23,151","25,968","28,275","30,514","6,434","7,312","8,428","9,648","10,910","12,131","13,460"
"123","Maldives","177","217","261","300","336","396","393","79","80","92","98","115","133","153"
"124","Mali","7,506","8,327","9,336","10,621","12,134","13,796","15,718","3,688","4,071","4,495","4,978","5,546","6,218","6,822"
"125","Malta","347","359","377","390","399","407","414","312","314","329","319","326","328","364"
"126","Marshall Islands","38","46","50","53","59","66","72","11","13","15","18","22","26","31"
"127","Mauritania","1,723","1,925","2,235","2,501","2,838","3,205","3,597","1,006","1,053","1,117","1,195","1,289","1,404","1,545"
"128","Mauritius","1,021","1,062","1,123","1,186","1,243","1,294","1,340","481","572","663","756","830","885","964"
"129","Mayotte (France)","71","87","119","157","186","206","220","22","24","28","32","37","43","53"
"130","Mexico","76,767","84,914","92,880","99,927","106,203","112,469","118,689","28,485","32,930","38,579","45,142","52,775","60,678","68,347"
"131","Moldova","4,148","4,374","4,355","4,180","3,948","3,732","3,547","2,336","2,622","2,999","3,334","3,595","3,847","3,996"
"132","Monaco","28","30","31","32","31","31","31","18","18","21","22","24","25","27"
"133","Mongolia","1,908","2,218","2,447","2,664","2,866","3,087","3,318","779","844","955","1,090","1,248","1,446","1,662"
"134","Montenegro","561","583","671","732","699","667","647","396","432","461","491","514","549","560"
"135","Montserrat (UK)","11","11","10","4","5","5","5","13","13","12","12","12","12","12"
"136","Morocco","21,644","24,000","26,148","28,113","29,901","31,627","33,323","9,343","10,782","12,423","14,066","15,909","17,687","19,487"
"137","Mozambique","13,293","12,989","15,888","17,997","20,069","22,417","25,303","6,250","6,782","7,472","8,301","9,304","10,433","12,103"
"138","Myanmar","36,766","40,464","43,994","47,439","50,572","53,414","56,320","19,488","21,050","22,839","24,937","27,393","30,330","33,336"
"139","Namibia","1,204","1,471","1,681","1,893","2,028","2,128","2,212","464","522","591","671","765","915","1,058"
"140","Nauru","9","9","10","10","10","9","10","3","4","4","6","7","7","8"
"141","Nepal","16,570","18,918","21,877","24,818","27,094","28,952","31,551","8,990","9,479","10,035","10,862","11,919","13,156","14,665"
"142","Netherlands","14,504","14,966","15,476","15,930","16,299","16,574","16,948","10,121","10,758","11,494","12,301","13,043","13,665","14,155"
"143","New Caledonia (France)","153","169","192","211","232","252","272","55","65","79","90","112","133","139"
"144","New Zealand","3,324","3,414","3,642","3,802","4,048","4,252","4,438","1,908","2,136","2,372","2,640","2,828","3,118","3,170"
